"CrimeDate","CrimeTime","CrimeCode","Location","Description","Inside/Outside","Weapon","Post","District","Neighborhood","Longitude","Latitude","Location 1","Premise","vri_name1","Total Incidents"
1540166400000,"18:45:00","9S","700 POPLAR GROVE ST","SHOOTING","Outside","FIREARM",814,"WESTERN","FRANKLINTOWN ROAD",-76.6650100962,39.2954409608,null,"STREET",null,1
1539907200000,"21:30:00","9S","4300 REISTERSTOWN RD","SHOOTING","Outside","FIREARM",613,"NORTHWEST","TOWANDA-GRANTLEY",-76.667719,39.338579,null,"STREET",null,1
1539907200000,"17:51:00","9S","500 PONTIAC AV","SHOOTING","Outside","FIREARM",913,"SOUTHERN","BROOKLYN",-76.604354,39.235748,null,"ALLEY","Brooklyn",1
1539820800000,"18:31:00","9S","1000 DRUID HILL AV","SHOOTING","Outside","FIREARM",123,"CENTRAL","UPTON",-76.6258981949,39.2998096759,null,"PUBLIC HOUSING","Central",1
1539820800000,"18:31:00","9S","1000 DRUID HILL AV","SHOOTING","Outside","FIREARM",123,"CENTRAL","UPTON",-76.6258981949,39.2998096759,null,"PUBLIC HOUSING","Central",1
1539820800000,"18:45:00","9S","3300 GREENMOUNT AV","SHOOTING","Outside","FIREARM",512,"NORTHERN","OAKENSHAWE",-76.6094728674,39.3286062701,null,"STREET",null,1
1539734400000,"17:17:00","9S","2300 W NORTHERN PKWY","SHOOTING","Outside","FIREARM",533,"NORTHERN",null,-76.6613383189,39.3550457532,null,"STREET",null,1
1539734400000,"17:17:00","9S","2300 W NORTHERN PKWY","SHOOTING","Outside","FIREARM",533,"NORTHERN",null,-76.6613383189,39.3550457532,null,"STREET",null,1
1539734400000,"19:28:00","9S","4100 HARRIS AV","SHOOTING","Outside","FIREARM",422,"NORTHEAST","BELAIR-PARKSIDE",-76.5666196601,39.3292462577,null,"STREET",null,1
1539734400000,"01:29:00","9S","2000 W SARATOGA ST","SHOOTING","Outside","FIREARM",null,"WESTERN","PENROSE/FAYETTE ST OUTREACH",-76.648913,39.291961,null,"STREET",null,1
